Name,Age
Lee Shau Kee,94
Li Ka-shing,93
Warren Buffett,91
Rupert Murdoch & family,91
Leonard Lauder,89
Leonardo Del Vecchio & family,86
Charles Koch,86
John Mars,86
Reinhold Wuerth & family,86
Amancio Ortega,86
François Pinault & family,85
Phil Knight & family,84
Klaus-Michael Kuehne,84
"Thomas Frist, Jr. & family",83
Jim Simons,83
Dieter Schwarz,82
Carlos Slim Helu & family,82
Jacqueline Mars,82
Michael Hartono,82
R. Budi Hartono,81
Michael Bloomberg,80
Cyrus Poonawalla,80
Iris Fontbona & family,79
He Xiangjian,79
Thomas Peterffy,77
Dietrich Mateschitz,77
Larry Ellison,77
Rob Walton,77
Shiv Nadar,76
Harold Hamm & family,76
Takemitsu Takizaki,76
Miriam Adelson,76
Peter Woo,75
Stephen Schwarzman,75
Stefan Persson,74
Jim Walton,73
Bernard Arnault & family,73
Alain Wertheimer,73
Tadashi Yanai & family,73
Savitri Jindal & family,72
Ray Dalio,72
Alice Walton,72
Lakshmi Mittal,71
Li Xiting,71
Gerard Wertheimer,71
"Theo Albrecht, Jr. & family",71
German Larrea Mota Velasco & family,68
Jiang Rensheng & family,68
Gina Rinehart,68
Francoise Bettencourt Meyers & family,68
Zhong Shanshan,67
Radhakishan Damani,67
Pang Kang,66
Luo Liguo & family,66
Eric Schmidt,66
Steve Ballmer,66
Bill Gates,66
Steve Cohen,65
Vladimir Lisin,65
Mukesh Ambani,64
David Thomson & family,64
Len Blavatnik,64
Masayoshi Son,64
Sun Piaoyang,63
Vladimir Potanin,61
Andrew Forrest,60
Daniel Gilbert,60
Abigail Johnson,60
Gautam Adani & family,59
Jensen Huang,59
Susanne Klatten,59
Julia Koch & family,59
Li Shufu,58
Jeff Bezos,58
Michael Dell,57
Jack Ma,57
Giovanni Ferrero,57
Qin Yinglin,56
Wang Chuanfu,56
Huang Shilin,55
Fan Hongwei & family,55
Stefan Quandt,55
Wang Wenyin,54
Robin Zeng,53
Ken Griffin,53
Rodolphe Saadé & family,52
MacKenzie Scott,51
Wang Wei,51
Emmanuel Besnier,51
William Lei Ding,50
Ma Huateng,50
Beate Heister & Karl Albrecht Jr. & family,50
Elon Musk,50
Larry Page,49
Sergey Brin,48
Changpeng Zhao,44
Guillaume Pousaz,40
Yang Huiyan & family,40
Zhang Yiming,38
Mark Zuckerberg,37
Sam Bankman-Fried,30
